date,PCR_num
2020/2/5,4
2020/2/6,19
2020/2/7,9
2020/2/8,4
2020/2/9,10
2020/2/10,12
2020/2/11,4
2020/2/12,10
2020/2/13,16
2020/2/14,43
2020/2/15,86
2020/2/16,65
2020/2/17,113
2020/2/18,9
2020/2/19,71
2020/2/20,90
2020/2/21,85
2020/2/22,96
2020/2/23,39
2020/2/24,104
2020/2/25,44
2020/2/26,168
2020/2/27,151
2020/2/28,130
2020/2/29,178
